code,country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,region,subregion
ABW,Aruba,101358,101455,101669,102046,102560,103159,103774,104341,104872,105366,105845,Americas,Caribbean
AFG,Afghanistan,27722276,28394813,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386,Asia,Southern Asia
AGO,Angola,21695634,22514281,23356246,24220661,25107931,26015780,26941779,27884381,28842484,29816748,30809762,Africa,Middle Africa
ALB,Albania,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,Europe,Southern Europe
AND,Andorra,83862,84463,84449,83747,82427,80774,79213,78011,77297,77001,77006,Europe,Southern Europe
ARE,United Arab Emirates,7089487,7917372,8549988,8946777,9141596,9197910,9214175,9262900,9360980,9487203,9630959,Asia,Western Asia
ARG,Argentina,40080160,40482788,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,Americas,South America
ARM,Armenia,2907618,2888092,2877319,2876538,2884229,2897584,2912403,2925553,2936146,2944809,2951776,Asia,Western Asia
ASM,American Samoa,57492,56683,56079,55759,55667,55713,55791,55812,55741,55620,55465,Oceania,Polynesia
ATG,Antigua and Barbuda,85397,86746,88028,89253,90409,91516,92562,93566,94527,95426,96286,Americas,Caribbean
AUS,Australia,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24992369,Oceania,Australia and New Zealand
AUT,Austria,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8847037,Europe,Western Europe
AZE,Azerbaijan,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9942334,Asia,Western Asia
BDI,Burundi,8126102,8397668,8675602,8958406,9245988,9540289,9844297,10160030,10487998,10827024,11175378,Africa,Eastern Africa
BEL,Belgium,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11422068,Europe,Western Europe
BEN,Benin,8696921,8944708,9199259,9460830,9729248,10004588,10286842,10575952,10872067,11175204,11485048,Africa,Western Africa
BFA,Burkina Faso,14689725,15141098,15605217,16081911,16571246,17072775,17586017,18110624,18646378,19193284,19751535,Africa,Western Africa
BGD,Bangladesh,144304167,145924797,147575430,149273778,151007807,152764676,154520167,156256276,157970840,159670593,161356039,Asia,Southern Asia
BGR,Bulgaria,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7024216,Europe,Eastern Europe
BHR,Bahrain,1114641,1185076,1240860,1278151,1299943,1315029,1336075,1371851,1425791,1494074,1569439,Asia,Western Asia
BIH,Bosnia and Herzegovina,3754271,3735938,3705472,3661175,3604972,3542605,3482104,3429361,3386267,3351527,3323929,Europe,Southern Europe
BLR,Belarus,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9498264,9485386,Europe,Eastern Europe
BLZ,Belize,306823,314655,322464,330237,338000,345715,353366,360933,368400,375769,383071,Americas,Central America
BMU,Bermuda,65273,65636,65124,64564,64798,65001,65139,65239,64555,63874,63968,Americas,Northern America
BOL,Bolivia,9721454,9884781,10048590,10212954,10377676,10542376,10706517,10869730,11031813,11192854,11353142,Americas,South America
BRA,Brazil,192030362,193886508,195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,Americas,South America
BRB,Barbados,279946,281104,282131,282987,283700,284296,284825,285324,285796,286233,286641,Americas,Caribbean
BRN,Brunei Darussalam,379421,383906,388646,393688,398989,404421,409769,414907,419800,424473,428962,Asia,South-Eastern Asia
BTN,Bhutan,671613,678323,685503,693298,701583,710238,719056,727876,736709,745568,754394,Asia,Southern Asia
BWA,Botswana,1915639,1953498,1987105,2015402,2039551,2062536,2088614,2120716,2159944,2205128,2254126,Africa,Southern Africa
CAF,Central African Republic,4273366,4337625,4386768,4418636,4436415,4447942,4464175,4493170,4537687,4596028,4666377,Africa,Middle Africa
CAN,Canada,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36540268,37058856,Americas,Northern America
CHE,Switzerland,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8516543,Europe,Western Europe
CHL,Chile,16708258,16886186,17062536,17233576,17400347,17571507,17758959,17969353,18209068,18470439,18729160,Americas,South America
CHN,China,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000,Asia,Eastern Asia
CMR,Cameroon,19252666,19789919,20341241,20906388,21485266,22077298,22681858,23298368,23926539,24566045,25216237,Africa,Middle Africa
COD,"Congo, Dem. Rep.",60411195,62448574,64563854,66755153,69020747,71358807,73767447,76244544,78789127,81398764,84068091,Africa,Middle Africa
COL,Colombia,44254975,44750054,45222700,45663099,46076848,46497267,46969209,47520667,48171392,48901066,49648685,Americas,South America
COM,Comoros,657229,673252,689692,706569,723871,741505,759390,777424,795592,813892,832322,Africa,Eastern Africa
CRI,Costa Rica,4463125,4520740,4577378,4633086,4688000,4742107,4795396,4847804,4899345,4949954,4999441,Americas,Central America
CUB,Cuba,11236971,11226709,11225832,11236670,11257101,11282720,11306902,11324781,11335109,11339259,11338138,Americas,Caribbean
CYM,Cayman Islands,53836,55322,56672,57878,58958,59932,60848,61724,62569,63382,64174,Americas,Caribbean
CYP,Cyprus,1081563,1098083,1112612,1124833,1135046,1143866,1152285,1160985,1170187,1179680,1189265,Asia,Western Asia
CZE,Czech Republic,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10625695,Europe,Eastern Europe
DEU,Germany,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82927922,Europe,Western Europe
DJI,Djibouti,816358,827823,840198,853674,868136,883293,898696,913993,929112,944097,958920,Africa,Eastern Africa
DMA,Dominica,70827,70851,70878,70916,70965,71016,71085,71183,71307,71458,71625,Americas,Caribbean
DNK,Denmark,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5797446,Europe,Northern Europe
DOM,Dominican Republic,9458075,9576737,9695121,9813210,9930911,10048224,10165178,10281680,10397743,10513131,10627165,Americas,Caribbean
DZA,Algeria,34730608,35333881,35977455,36661444,37383887,38140132,38923687,39728025,40551404,41389198,42228429,Africa,Northern Africa
ECU,Ecuador,14535739,14774424,15011117,15243883,15474102,15707474,15951838,16212020,16491115,16785361,17084357,Americas,South America
EGY,"Egypt, Arab Rep.",79636079,81134798,82761235,84529250,86422240,88404640,90424654,92442547,94447072,96442593,98423595,Africa,Northern Africa
ERI,Eritrea,3062779,3119920,3170435,3213972,..,..,..,..,..,..,..,Africa,Eastern Africa
ESP,Spain,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46483569,46593236,46723749,Europe,Southern Europe
EST,Estonia,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1320884,Europe,Northern Europe
ETH,Ethiopia,82916235,85233913,87639964,90139927,92726971,95385785,98094253,100835458,103603501,106400024,109224559,Africa,Eastern Africa
FIN,Finland,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5518050,Europe,Northern Europe
FJI,Fiji,845361,853637,859818,863449,865069,865608,866453,868627,872399,877459,883483,Oceania,Melanesia
FRA,France,64374984,64707040,65027507,65342780,65659809,65998687,66316100,66593366,66859768,66865144,66987244,Europe,Western Europe
FRO,Faroe Islands,47820,47808,47814,47823,47843,47892,47960,48051,48173,48331,48497,Europe,Northern Europe
GAB,Gabon,1518540,1568928,1624140,1684635,1749682,1817071,1883800,1947686,2007873,2064823,2119275,Africa,Middle Africa
GBR,United Kingdom,61806995,62276270,62766365,63258918,63700300,64128226,64613160,65128861,65595565,66058859,66488991,Europe,Northern Europe
GHA,Ghana,23563825,24170940,24779619,25387710,25996449,26607642,27224472,27849205,28481946,29121471,29767108,Africa,Western Africa
GIB,Gibraltar,33559,33565,33585,33612,33646,33692,33725,33736,33737,33728,33718,Europe,Southern Europe
GIN,Guinea,9738792,9964469,10192176,10420471,10652029,10892810,11150977,11432088,11738441,12067539,12414318,Africa,Western Africa
GNB,Guinea-Bissau,1446936,1483921,1522599,1562989,1604979,1648257,1692439,1737202,1782437,1828146,1874309,Africa,Western Africa
GNQ,Equatorial Guinea,860840,901599,943639,986853,1031191,1076413,1122276,1168568,1215179,1262001,1308974,Africa,Middle Africa
GRC,Greece,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10727668,Europe,Southern Europe
GRD,Grenada,105456,105789,106233,106796,107446,108170,108902,109599,110261,110874,111454,Americas,Caribbean
GRL,Greenland,56328,56323,56905,56890,56810,56483,56295,56114,56186,56171,56025,Americas,Northern America
GTM,Guatemala,14006428,14316263,14630417,14948803,15270778,15595821,15923243,16252429,16583060,16914936,17247807,Americas,Central America
GUM,Guam,159036,159226,159444,159692,159996,160407,161016,161853,162951,164281,165768,Oceania,Micronesia
GUY,Guyana,746817,747718,749436,752028,755399,759285,763380,767432,771366,775221,779004,Americas,South America
HND,Honduras,7980955,8150775,8317470,8480671,8640691,8798521,8955589,9112916,9270795,9429013,9587522,Americas,Central America
HRV,Croatia,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4089400,Europe,Southern Europe
